Chemical,Sentence
"1,3-dichloro-2-nitrobenzene","The chemical compound, 1,3-dichloro-2-nitrobenzene, is a colorless liquid with a pungent odor."
"2-nitrobenzene-1,3-diol","2-nitrobenzene-1,3-diol is an organic acid with one nitrogen and three carbon atoms per molecule. It is a primary amine, meaning it is an amine with an additional"
"1-methyl-2,3-dinitrobenzene","A chemical compound that has the formula 1-methyl-2,3-dinitrobenzene is a red, colorless liquid with a fruity odor."
1-(2-hydroxynaphthalen-1-yl)naphthalen-2-ol,"A novel chemical compound, 1-(2-hydroxynaphthalen-1-yl)naphthalen-2-ol, has been isolated from the extract of Nepenthes gracilis."
"1-methyl-2,3,4-trinitrobenzene","The compound is the chemical compound 1-methyl-2,3,4-trinitrobenzene."
"1,8-dinitronaphthalene","The chemical compound 1,8-dinitronaphthalene is a tetranitronaphthalene derivative that is used in various chemical reactions."
"5-ethyl-6-phenylphenanthridin-5-ium-3,8-diamine chloride","The compound 5-ethyl-6-phenylphenanthridin-5-ium-3,8-diamine chloride is a dark brown solid with a strong, acidic odor."
9-phenylanthracene,9-phenylanthracene is a non-polar to polar organic compound that is a member of the phenanthrenium series and has a molecular weight of 123.95.
9-nitroanthracene,9-nitroanthracene is a toxic synthetic organic compound that is highly toxic to the nervous system and can cause brain damage and death in high doses.
"1,2,3-trihydroxyanthracene-9,10-dione","The chemical compound with the formula 1,2,3-trihydroxyanthracene-9,10-dione has been shown to have antimicrobial effects against several bacterial and fungal strains"
"5-nitro-1,2-dihydroacenaphthylene","The chemical compound, 5-nitro-1,2-dihydroacenaphthylene, has been discovered by researchers at the University of California, Berkeley, and the American Chemistry Society."
"2,3,4,5,6-pentafluorobenzoic acid","The chemical compound 2,3,4,5,6-pentafluorobenzoic acid is a strong oxidizing agent that is toxic, corrosive and caustic in nature."
"1,3,5-trimethyl-2,4,6-trinitrobenzene","The chemical compound, 1,3,5-trimethyl-2,4,6-trinitrobenzene, is a colorless liquid with a strong, unpleasant odor."
"3-methyl-2,4,6-trinitrophenol","A white, cry"
triphenylarsane,Triphenylarsane is a strong oxidizing agent with the formula C6H3Ar.
triphenylbismuthane,The compound triphenylbismuthane is a colorless liquid with a strong odor when heated.
"N,N-diphenylaniline","N,N-diphenylaniline is a white solid that is flammable and has a strong, irritating odor."
triphenylphosphane,"Triphenylphosphane (TPP) is a colorless, flammable liquid with a pungent odor that is a derivative of triphenylmethane, a byproduct of the synthesis of triphenylam"
triphenylstibane,"The triphenylstibane molecule has a structure that is similar to a flower. This molecule is composed of three phenyl groups, two methyl groups, and two stibes."
"1,1,2-triphenylguanidine","The chemical compound 1,1,2-triphenylguanidine is a colorless solid with a melting point of 143–144°C (291–291°F)"
"4-nitroisoindole-1,3-dione","The 4-nitroisoindole-1,3-dione is a white to off-white solid that is not soluble in water."
"2-(4-bromophenyl)-1,5-dimethylpyrazol-3-one","2-(4-bromophenyl)-1,5-dimethylpyrazol-3-one, a colorless, odorless liquid, reacts with water to form a colorless oil. 2-(4"
1-methylindole,"The chemical compound, 1-methylindole, is a colorless, trivalent, and fluorescent hydrocarbon with a melting point of 58.5°C and a boiling point of"
"2,3-dimethylbenzoic acid","2,3-Dimethylbenzoic acid is a member of the phenylpropanoid group and its chemical structure consists of a phenyl group, an aryl group, and a hydroxyl group."
2-methyl-3-nitroaniline,2-methyl-3-nitroaniline is a yellow crystalline solid of molecular weight approximately 260.
2-chloro-6-nitrophenol,"2-chloro-6-nitrophenol is a colorless, slightly sweet, odorless, crystalline compound with a molecular formula of C6H5CN."
"[10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] benzoate","[10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15"
"[(3S,9S,14S,17R)-10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate",The chemical compound is a dimethyl ester of a dimethyl ester of a dimethyl ester of a dimethyl ester of a dimethyl ester of a dimethyl ester of a dimeth
4-chloronaphthalen-1-ol,The chemical compound 4-chloronaphthalen-1-ol is a yellow-colored compound that is formed by the addition of a chlorine atom to the naphthalene ring.
"1-methylquinazoline-2,4-dione","The chemical compound, 1-methylquinazoline-2,4-dione, is known for its antidepressant effects."
1-naphthalen-1-ylnaphthalene,1-naphthalen-1-ylnaphthalene is a chemical compound with the molecular formula C6H6N7. This molecule is a colorless solid that can be prepared by reacting
2-phenylbenzo[h]chromen-4-one,"A new study has found that a chemical compound, 2-phenylbenzo[h]chromen-4-one, prevents the growth of cancer cells by affecting the activity of enzymes."
"1,2,3,4,5,6-hexaethylbenzene","1,2,3,4,5,6-hexaethylbenzene: A colorless, odorless liquid that is formed during the pyrolysis of chlorinated benzene. It is"
trimethyl-[4-[4-[4-(trimethylazaniumyl)phenyl]hexan-3-yl]phenyl]azanium diiodide,"Trimethyl-[4-[4-[4-(3-methyl-1,3,5-triazine-2-yl)phenyl]hexan-3-yl]azanium diiodide."
trimethyl-[4-[4-[4-(trimethylazaniumyl)phenyl]hexan-3-yl]phenyl]azanium,The chalcogenide contains two chalcogens and four semiconducting atoms.
"1,2,3,4,5-pentaethylbenzene","1,2,3,4,5-pentaethylbenzene is a colorless, volatile, highly flammable liquid that is used as a solvent and as an intermediate in the production of plastics."
1-phenylnaphthalene,The compound is a colorless crystalline solid that is irritating to the eyes and is a very flammable liquid.
"2-hydroxyanthracene-9,10-dione","The compound, also known as anthracene, is a semicarbazide derivative that is a catechol ester with 2-hydroxyl groups and a hydrophobic 9,10-d"
1-methyl-2-(2-methylphenyl)benzene,"The chemical compound, 1-methyl-2-(2-methylphenyl)benzene, is a colorless, highly flammable soluble in water, ethanol, and acetone."
"2,7-diaminoanthracene-9,10-dione","The chemical compound 2,7-diaminoanthracene-9,10-dione is a potential antimicrobial agent."
"dipropan-2-yl benzene-1,2-dicarboxylate","The compound exhibits strong fluorescence in the UV-visible region of the spectrum, indicating its chemical nature."
"9,10-dichloroanthracene","Chlorine, the most abundant element in the Earth's crust, produces chlorofluorocarbons (CFCs) which are potent greenhouse gases that have caused a significant rise in global temperatures"
5-(dimethylamino)naphthalene-1-sulfonyl chloride,"A chemical compound that is commonly used in electronics manufacturing, it has an electronegativity of 2.40 and a polarity of -1. This compound is commonly used in the manufacture of electronic components such as capac"
"2,4-dinitronaphthalen-1-ol","2,4-dinitronaphthalen-1-ol is a potent and selective inhibitor of flavonol glycoside hydroxylase, a critical enzyme in flavonoid biosyn"
"1,5-dinitronaphthalene","This compound is formed through the reaction of 1,5-dinitrophenol with naphthalene to form 1,5-dinitronaphthalene."
"3-methyl-7,9-dihydropurine-2,6,8-trione","""The chemical compound 3-methyl-7,9-dihydropurine-2,6,8-trione is a purine nucleoside that is also known as purine nucleotide III."""
"1,3,5-tribenzyl-1,3,5-triazinane-2,4,6-trione","This compound is a chiral amine, which means that it can exist in both the right-hand and left-hand isomers."
"2-amino-2-methylpropan-1-ol;8-bromo-1,3-dimethyl-7H-purine-2,6-dione","The chemical compound 2-amino-2-methylpropan-1-ol;8-bromo-1,3-dimethyl-7H-purine-2,6-dione is a"
2-amino-2-methylpropan-1-ol,2-amino-2-methylpropan-1-ol is the chemical compound of interest.
"8-bromo-1,3-dimethyl-7H-purine-2,6-dione","The chemical compound, 8-bromo-1,3-dimethyl-7H-purine-2,6-dione, is a known drug that may be used for the treatment of Parkinson's disease"
"8-bromo-1,3-dimethyl-7H-purine-2,6-dione;N'-[(4-methoxyphenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine","8-Bromo-1,3-Dimethyl-7H-Purine-2,6-Dione (N'-[(4-Methoxyphenyl)methyl]-N,N-"
"1,2,3,4,5-pentachloro-6-ethylbenzene","This compound is a colorless liquid with a strong, unpleasant odor. It is one of the most potent pesticides known to man."
(2S)-2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid,The chemical compound (2S)-2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid is a phenolic compound that is used in the production of
"2-hydroxybenzene-1,3-dicarboxylic acid","A group of researchers have now established a new chemical compound, 2-hydroxybenzene-1,3-dicarboxylic acid."
"2-methyl-1,3-dinitrobenzene","The chemical compound 2-methyl-1,3-dinitrobenzene is a colorless liquid, which exists in its pure form as a gas and its crystal form as a solid."
"2-chloro-1,3-dinitrobenzene","The 2-chloro-1,3-dinitrobenzene was extracted from the crude oil by a hot distillation process."
"indene-1,3-dione","A group of scientists have detected an unusual chemical compound with a distinct signature in the cosmic microwave background radiation from the early universe. The compound is indene-1,3-dione and is formed by the reaction"
methyl 2-benzoylbenzoate,"Methyl 2-benzoylbenzoate is a white crystalline solid that is soluble in water and organic solvents. It is also insoluble in acetone, ethanol,"
"2-methoxy-1,3,5-trinitrobenzene","In 2014, Xu et al. Presented the discovery of a new class of molecules, called tetranitrobenzene (TNB), which exhibit unique and unusual interactions with light."
"1,3-dinitronaphthalene","1,3-dinitronaphthalene is a type of nitrogen-containing anthracene with a 2,6-di-nitrophenyl group attached."
2-chloronaphthalen-1-ol,"The chemical compound 2-chloronaphthalen-1-ol is a yellow crystalline solid that is soluble in water. It has a strong, floral odor and is used as a scavenger"
1-methylquinolin-2-one,A chemical compound called quinolinone is a type of organic compound that is a member of the quinoline family. It consists of a quaternary nitrogen-containing ring with six members of the quinoline
"1-[[4-[(6,7-dimethoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium-1-yl)methoxy]phenoxy]methyl]-6,7-dimethoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium diiodide","The compound, which is a dimethylamino derivative of 6,7-dimethoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium"
"1-[[4-[(6,7-dimethoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium-1-yl)methoxy]phenoxy]methyl]-6,7-dimethoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium","The chemical compound, 1-[[4-[(6,7-dimethoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium-1-"
1-nitronaphthalen-2-amine,1-nitronaphthalen-2-amine is a yellowish amine compound.
"4-amino-7-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrrolo[2,3-d]pyrimidine-5-carbonitrile","Amino-7-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrrolo[2"
1-nitro-2-(4-nitrophenyl)benzene,"A unique and highly complex chemical compound, 1-nitro-2-(4-nitrophenyl)benzene, is synthesized through the condensation of phenylamine with 1-nitrobenz"
"3,3-diphenylprop-2-enoic acid","The chemical compound, 3,3-diphenylprop-2-enoic acid, is a yellow, odorless, water-soluble, and slightly acidic compound."
4-chloro-2-phenylphenol,4-chloro-2-phenylphenol is a phenolic compound with the formula C6H5C(OC6H4)Cl. It is commonly used as a food and pharmaceutical add
N-naphthalen-1-ylhydroxylamine,"N-naphthalen-1-ylhydroxylamine is a molecule that can be derived from a variety of natural compounds, including p-nitrophenol and p-nitrophenylhydraz"
5-nitroquinoline,"5-nitroquinoline is a strong inhibitor of protein kinase C (PKC), an enzyme involved in cell signalling."
8-nitroquinoline,The chemical compound 8-nitroquinoline is a blue-violet colored molecule with a ring system in its structure.
2-nitro-9H-fluorene,"The 2-nitro-9H-fluorene molecule is a cyclic, aromatic hydrocarbon with a nitro group and fluorine attached to the 9H and 9H2 atom. It"
"N,N-dimethyl-4-(naphthalen-1-yldiazenyl)aniline","The chemical compound N,N-dimethyl-4-(naphthalen-1-yldiazenyl)aniline is a colorless, flammable, oily liquid with a pungent od"
4-methylchromen-2-one,4-methylchromen-2-one is a yellow-colored organic compound with the molecular formula C6H11O2. It was first isolated in 1878 by French chemist Joseph
7-[3-(dimethylamino)-2-methylpropoxy]-2-phenylchromen-4-one,The chemical compound 7-[3-(dimethylamino)-2-methylpropoxy]-2-phenylchromen-4-one is a potent and selective inhibitor of the enzym
N-[3-(dimethylamino)propyl]-2-(4-oxo-2-phenylchromen-7-yl)oxyacetamide,The chemical compound N-[3-(dimethylamino)propyl]-2-(4-oxo-2-phenylchromen-7-yl)oxyacetamide is an ionic complex composed
"[1-(2,4-dihydroxyphenyl)-1-hydroxypropan-2-yl]azanium chloride","Chemical compound [1-(2,4-dihydroxyphenyl)-1-hydroxypropan-2-yl]azanium chloride is a potent inhibitor of glutamate reupt"
"4-(2-amino-1-hydroxypropyl)benzene-1,3-diol","A small, unidentified microbe has been discovered in a remote region of Patagonia, South America, near the Antarctic Peninsula."
propan-2-yl 2-hydroxybenzoate,"The chemical compound, propan-2-yl 2-hydroxybenzoate, is a mono-substituted benzene ring system with two methyl groups and two hydroxy groups."
